neighborhood,neighborhood_latitude,neighborhood_longitude,venue_name,venue_id,venue_rating,venue_category,venue_address,venue_city,venue_latitude,venue_longitude
Hyde Park,33.989040000000045,-118.32669999999996,Slauson Liquor,4c7d64468da18cfa073d9fce,,Liquor Store,2825 W Slauson Ave,"Los Angeles, CA 90043",33.98925597363918,-118.32439263428363
Hyde Park,33.989040000000045,-118.32669999999996,Rainbow Apparel,4dc5d39dc65b89d3ca79a218,,Clothing Store,3214 W Slauson Ave,"Los Angeles, CA 90043",33.98870979490098,-118.32879450613422
Hyde Park,33.989040000000045,-118.32669999999996,Rite Aid,4c17bf771436a593e74c8c75,,Pharmacy,3230 W Slauson Ave,"Los Angeles, CA 90043",33.988168,-118.328666
Hyde Park,33.989040000000045,-118.32669999999996,Dog Lovers,4dfa4da745dd2b6764be5c22,,Pet Store,5702 Crenshaw Blvd (57th St.),"Los Angeles, CA 90043",33.99082318142586,-118.3304907387695
Hyde Park,33.989040000000045,-118.32669999999996,New Wave Beauty Supply,4eefa9b3775b3c5810000de6,,Salon / Barbershop,"Los Angeles, CA 90043",United States,33.98785907402434,-118.32901243058885
Hyde Park,33.989040000000045,-118.32669999999996,Tajmahal,4e879db37ee6a0ef1ee3faf9,,Miscellaneous Shop,"Los Angeles, CA",United States,33.99158859792012,-118.33053500177104
Hyde Park,33.989040000000045,-118.32669999999996,Continental Currency Services,4dffd4572271bc79ee0561a3,,Currency Exchange,3401 W Slauson Ave (Crenshaw Boulevard),"Los Angeles, CA 90043",33.98897142027227,-118.33098731043454
Hyde Park,33.989040000000045,-118.32669999999996,BoostUp Wireless @ Slauson,4b7c316ff964a5206f832fe3,,Miscellaneous Shop,3214 W Slauson Ave,"Los Angeles, CA 90043",33.98913341949634,-118.33090740244889
Hyde Park,33.989040000000045,-118.32669999999996,ARCO,4c299600ed0ac9b6ae0c62aa,,Gas Station,5804 Crenshaw Blvd,"Los Angeles, CA 90043",33.98868644656387,-118.33047372125897
Hyde Park,33.989040000000045,-118.32669999999996,Ralphs,4bb917f0cf2fc9b61f3ca002,,Supermarket,3300 W Slauson Ave (at Crenshaw Blvd),"Los Angeles, CA 90043",33.9875015,-118.3297101
Hyde Park,33.989040000000045,-118.32669999999996,Shell,4c17c24b1436a593ab518c75,,Gas Station,5805 Crenshaw Blvd,"Los Angeles, CA 90043",33.988614205072786,-118.33134601324373
Hyde Park,33.989040000000045,-118.32669999999996,34 Pet Shop,520e7ff4498e4f5e1bb699cb,,Pet Store,"Los Angeles, CA",United States,33.9888,-118.332304
Hyde Park,33.989040000000045,-118.32669999999996,LA S Auto Insurance,4e7254301f6ecfe82c372c17,,Miscellaneous Shop,California,United States,33.987552642822266,-118.32926177978516
Hyde Park,33.989040000000045,-118.32669999999996,J Photo,4f065349b63440fe1fed29d3,,Photography Lab,3248 W Slauson Ave,"Los Angeles, CA 90043",33.98824199568155,-118.32970877813597
Hyde Park,33.989040000000045,-118.32669999999996,U.S. Bank Branch,55d4bb47498e5e9f3291a8ca,,Bank,5760 Crenshaw Blvd,"Los Angeles, CA 90043",33.98923492,-118.3303986
Hyde Park,33.989040000000045,-118.32669999999996,AutoZone Auto Parts,5aabbdcf3e67415049f4c02b,,Automotive Shop,5870 Crenshaw Blvd,"Los Angeles, CA 90043",33.988387,-118.330062
Hyde Park,33.989040000000045,-118.32669999999996,Dollar Tree,4f209ec1e4b09044bc88393e,,Discount Store,5710 Crenshaw Boulevard,"Los Angeles, CA 90043",33.9905225267364,-118.33036544150696
Hyde Park,33.989040000000045,-118.32669999999996,G & W Liquor,5385a223498e49f2a50e30bc,,Liquor Store,"Los Angeles, CA",United States,33.988826751708984,-118.3329086303711
